time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/explained_variance,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate
2521088,1231,263,9577,0.032739462179597466,0.2,0.032177734375,-1.9495197728276252,0.6406465768814087,0.6197856664657593,0.0044857673,-0.02095971070230007,-0.007040668453555554,2918.87,12300,-1430.70019923,0.0001
2523136,1232,263,9585,0.0009128839734330541,0.2,0.03798828125,-1.9474845871329307,0.6413557529449463,-0.995988130569458,0.0052702306,-0.027517277747392654,-0.003811089458758943,2918.87,12310,-1423.89780313,0.0001
2525184,1233,263,9593,0.0010306889966159361,0.2,0.012451171875,-1.9510763794183732,0.6424514651298523,0.8891499042510986,0.004084726,-0.03330758586525917,-0.003331941837677732,2918.87,12320,-1436.6122566699999,0.0001
2527232,1234,263,9600,0.002814515923819272,0.2,0.01689453125,-1.9518022134900093,0.641444206237793,0.6270245909690857,0.0032859533,-0.01745997555553913,-0.004621040064375847,2918.87,12330,-1436.6122566699999,0.0001
2529280,1235,263,9608,0.001812976561996038,0.2,0.073779296875,-1.9511387899518013,0.6432070732116699,-0.1433025598526001,0.0077237897,-0.030208909884095192,-0.010036110086366535,2899.15,12340,-1373.39042526,0.0001
2531328,1236,263,9616,0.00553984333819244,0.2,0.078564453125,-1.9564826294779778,0.6441147327423096,0.8450331687927246,0.0074878354,-0.02391824498772621,-0.00795245637127664,2899.15,12350,-1373.39042526,0.0001
2533376,1237,263,9623,0.0007946390014694771,0.2,0.0328125,-1.9581342399120332,0.6443156003952026,-2.2576887607574463,0.0035652993,-0.02384861744940281,-0.0027790673993877135,2899.15,12360,-1343.25191457,0.0001
2535424,1238,263,9631,0.018650684820022433,0.2,0.0541015625,-1.9568760573863984,0.6433470249176025,-0.11637282371520996,0.005660927,-0.027730409055948257,-0.007939120684750379,2923.64,12370,-1378.6587249800002,0.0001
2537472,1239,263,9639,0.007518705354596022,0.2,0.057470703125,-1.9562830001115799,0.6441274881362915,-0.9603254795074463,0.0070496704,-0.031157439574599266,-0.006481167214224115,2923.64,12380,-1378.6587249800002,0.0001
2539520,1240,263,9646,0.000746830342541216,0.2,0.0564453125,-1.9602409288287164,0.6460318565368652,-0.14334070682525635,0.00486506,-0.029510019347071648,-0.004298292548628524,2923.64,12390,-1323.80455396,0.0001
2541568,1241,263,9654,0.002334860725386534,0.2,0.1537109375,-1.9607766792178154,0.6436807513237,0.5094602108001709,0.0102638975,-0.03750336915254593,-0.012242116406559944,2923.64,12400,-1287.5128872100001,0.0001
2543616,1242,263,9662,0.004084414573299,0.2,0.04248046875,-1.9569592595100402,0.644575834274292,0.5297704935073853,0.0069599827,-0.02441749908030033,-0.004807053538388573,2923.64,12410,-1330.84800234,0.0001
2545664,1243,263,9669,0.004809079087135615,0.2,0.026318359375,-1.958066089451313,0.6437022686004639,0.12396937608718872,0.0047824616,-0.010875849053263664,-0.0013811116921715438,2923.64,12420,-1330.84800234,0.0001
2547712,1244,263,9677,0.0027669323651934976,0.2,0.060888671875,-1.9554793015122414,0.6431117653846741,-0.5021884441375732,0.0058551393,-0.028420204296708107,-0.006571706780232489,2923.64,12430,-1297.70771311,0.0001
2549760,1245,263,9684,0.001555454675690271,0.2,0.072119140625,-1.9565071225166322,0.6445987224578857,0.935741662979126,0.0065343203,-0.02402779459953308,-0.006713660745299421,2923.64,12440,-1284.8663920400002,0.0001
2551808,1246,263,9692,0.006206162471789867,0.2,0.054638671875,-1.9611778363585473,0.645980954170227,-1.22355318069458,0.00593934,-0.005407074932008982,-0.01041403119743336,2923.64,12450,-1284.8663920400002,0.0001
2553856,1247,263,9700,0.021426215676183347,0.2,0.05869140625,-1.965227770805359,0.6470458507537842,0.7467041015625,0.0071841516,-0.027503201737999916,-0.005943083981401287,2923.64,12460,-1291.4840497900002,0.0001
2555904,1248,263,9707,0.018788173267967067,0.2,0.041162109375,-1.9699687957763672,0.6490482091903687,0.9352219104766846,0.004859547,-0.028795206919312477,-0.0057768117840169,2923.64,12470,-1303.7881137600002,0.0001
2557952,1249,263,9715,0.0036099962246225912,0.2,0.03642578125,-1.974060843884945,0.6498421430587769,0.9213919043540955,0.00518913,-0.03377480059862137,-0.006733415262715425,2923.64,12480,-1303.7881137600002,0.0001
2560000,1250,263,9722,0.00044445000567066016,0.2,0.109423828125,-1.9764047771692277,0.6507375240325928,-0.06702780723571777,0.009251531,-0.03708678483963013,-0.010494695021770894,2923.64,12490,-1276.26570984,0.0001
2562048,1251,263,9730,0.013230975103215314,0.2,0.04521484375,-1.978561145067215,0.6508147716522217,0.8622289896011353,0.005836269,-0.02657255530357361,-0.006335942726582289,2923.64,12500,-1344.44066836,0.0001
2564096,1252,263,9738,0.02486345098586753,0.2,0.030322265625,-1.9780385717749596,0.6504548788070679,0.9327983260154724,0.004238311,-0.01605256088078022,-0.00460129929415416,2923.64,12510,-1344.44066836,0.0001
2566144,1253,263,9745,0.001417812766158022,0.2,0.081982421875,-1.9759189173579217,0.6496350765228271,0.9103965759277344,0.006371434,-0.0255463644862175,-0.00758836463210173,2923.64,12520,-1377.2098745,0.0001
2568192,1254,263,9753,0.01018519455974456,0.2,0.064453125,-1.9744944274425507,0.6496257781982422,0.8290255069732666,0.007188752,-0.03233881667256355,-0.0070758815680164846,2923.64,12530,-1378.7111285,0.0001
2570240,1255,263,9760,0.007612406532280147,0.2,0.033154296875,-1.9740351811051369,0.6493834257125854,-0.19688332080841064,0.004592914,-0.024824347347021103,-0.004660795815289021,2923.64,12540,-1378.7111285,0.0001
