#{"t_start": 1755855431.188443, "env_id": "None"}
r,l,t
-1028.914072,3000,6155.185338
-466.111347,3000,6166.542827
-7055.948694,3000,6177.756806
324.742529,3000,6188.859073
10.0,1,6188.874662
-2459.854311,3000,6200.326528
-1315.717498,3000,6211.35213
-89.076259,91,6211.700199
-5666.941469,3000,6222.765461
-92.687462,115,6223.170385
75.0356,3000,6234.315216
237.071894,3000,6245.494825
-1724.234728,3000,6256.533909
-3576.969122,3000,6267.836048
-2192.521118,3000,6279.024086
-167.554636,3000,6290.266436
199.640273,3000,6301.317053
-556.302698,214,6302.083057
-2348.58134,3000,6313.363231
83.022079,3000,6324.633502
-126.915122,3000,6336.03816
10.0,1,6336.050126
22.810527,3000,6347.205494
-779.542385,3000,6358.65152
-4308.655604,3000,6369.64136
-65.281217,3000,6380.907056
-896.171772,3000,6392.031
-639.213849,3000,6403.255671
-232.389077,3000,6414.425162
-206.442336,3000,6425.547202
-963.71548,3000,6436.878329
-759.656988,3000,6448.007108
-8258.55092,3000,6459.276905
253.816361,3000,6470.285437
197.431268,3000,6481.624074
10.0,1,6481.635356
-2269.358189,3000,6492.790264
-132.49141,3000,6504.127444
264.379236,3000,6515.012788
-12.978569,3000,6526.315057
-107.822053,3000,6537.580237
-3884.616079,3000,6548.864005
-1095.513023,3000,6559.884881
-760.59582,3000,6571.019887
5.107732,36,6571.162688
-1415.505561,3000,6582.110631
172.637382,3000,6593.183007
215.136351,3000,6604.304578
-999.192091,3000,6615.328279
-6162.467748,3000,6626.669667
-788.866797,3000,6637.706372
-1170.979669,3000,6648.826127
161.938528,3000,6659.894923
-750.89792,3000,6671.252559
-167.209079,3000,6682.359901
-767.076501,3000,6693.549488
89.949195,3000,6704.800335
170.094039,3000,6716.123204
-201.097223,3000,6727.10991
-961.268172,3000,6738.101253
-5149.155697,3000,6749.29172
-3321.911049,3000,6760.253518
-1256.280317,3000,6771.556316
-6718.331856,3000,6782.571095
-2108.357824,3000,6793.950831
-3745.211546,3000,6805.138008
-871.196042,3000,6816.227947
-3006.514027,3000,6827.308513
-5065.79598,2450,6836.510713
-1232.65888,3000,6847.797457
-181.974826,3000,6858.777286
1883.351463,3000,6869.852936
-809.502478,3000,6880.850404
-465.788791,3000,6892.162449
52.507822,3000,6903.403094
-416.22114,3000,6914.73748
-5552.942499,3000,6925.715003
10.0,1,6925.725676
605.02286,3000,6936.98473
-3571.230086,3000,6948.125041
-5767.886493,3000,6959.422156
257.6485,3000,6970.593461
-79.183809,3000,6981.460575
-1480.632006,3000,6992.626284
-2298.979963,3000,7003.720136
-1018.351233,3000,7015.190067
-645.506871,3000,7026.26884
-1031.792114,3000,7037.529501
-309.11607,3000,7048.637728
-266.300953,3000,7059.98795
40.692381,3000,7071.071893
55.935977,3000,7082.375092
150.446253,3000,7093.573737
127.671678,3000,7105.139475
-1888.066631,3000,7116.403285
-1953.82674,3000,7127.530285
-471.289684,3000,7138.955722
10.0,1,7138.968937
-250.833926,3000,7150.107363
-1407.670912,3000,7161.314679
125.042293,3000,7172.328899
236.599112,3000,7183.676159
25.238001,60,7183.898136
-43.348932,3000,7194.887036
-2468.089974,3000,7206.140147
50.712189,3000,7217.251272
-3352.79222,3000,7228.533809
-68.235456,3000,7239.506997
10.0,1,7239.518599
-57.684542,3000,7250.677605
-7804.976233,3000,7261.672212
-2146.805303,3000,7272.739729
-246.26583,3000,7283.838756
58.679497,3000,7294.926664
-288.400848,3000,7306.015351
19.814848,3000,7316.915495
-391.359168,3000,7328.390551
126.842285,3000,7339.332727
-197.493434,3000,7350.693825
-1208.810588,3000,7362.044481
